portakal
134.85
128.25
191.37
171.66
131.34
156.22
113.09
152.47
133.63
185.49
128.56
130.32
131.00
134.83
89.64
120.35
113.21
146.26
93.48
142.35
152.16
55.17
89.16
143.02
130.59
173.2
127.47
130.41
106.41
116.22
95.93
161.71
128.25
132.24
122.74
141.02
145.16
94.69
124.54
151
157.93
141.35
109.37
144.7
157.27
187.3
111.64
158.17
143.18
158.8
161.85
138.71
205.09
140.41
102.46
177.73
122.32
172.74
141.9
94.35
116.69
90.24
159.93
122.66
120
164.35
124.04
154.28
179.03
115.87
128.71
159.34
158.02
116.22
171.15
138.99
102.13
193.45
146.16
145.64
111.24
144.01
139.08
175.61
167.15
116.43
116.09
111.96
130.9
152.57
158.17
131.55
150.01
115.07
125.28
161.62
146.55
128.1
144.44
142.41
